        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 8.00000000e+01,        +7.071067811865e+00,        +3.463245917167e+00,        +1.454087972280e+00,        +1.970936498205e+00,        -2.238735928841e+00,        +6.703846728677e-01,        -3.589930760378e+00,        +1.402006677978e+00,        -2.643492145567e+00,        +7.071067811865e+00,        +1.970936498205e+00,        -2.238735928841e+00,        +3.463057659708e+00,        +1.452130567427e+00,        +1.403217788478e+00,        -2.643843967784e+00,        +6.703109208781e-01,        -3.589936705704e+00,        +7.071067811865e+00,        +6.703846728677e-01,        -3.589930760377e+00,        +1.403217788478e+00,        -2.643843967784e+00,        +3.463021023790e+00,        +1.452062145829e+00,        +1.970911792994e+00,        -2.238699465534e+00,        +7.071067811865e+00,        +1.402006677978e+00,        -2.643492145567e+00,        +6.703109208781e-01,        -3.589936705704e+00,        +1.970911792994e+00,        -2.238699465534e+00,        +3.463254111540e+00,        +1.454170214445e+00
 8.16000000e+01,        +7.071067811865e+00,        +3.491463687578e+00,        +1.510655106637e+00,        +1.939382302424e+00,        -2.253372805611e+00,        +5.743901916486e-01,        -3.623137084564e+00,        +1.340409850599e+00,        -2.659151844090e+00,        +7.071067811865e+00,        +1.939382302424e+00,        -2.253372805611e+00,        +3.491252313825e+00,        +1.508663631912e+00,        +1.341625444533e+00,        -2.659557841607e+00,        +5.743146885755e-01,        -3.623141250557e+00,        +7.071067811865e+00,        +5.743901916486e-01,        -3.623137084564e+00,        +1.341625444533e+00,        -2.659557841607e+00,        +3.491212681598e+00,        +1.508592693240e+00,        +1.939359031733e+00,        -2.253334511835e+00,        +7.071067811865e+00,        +1.340409850599e+00,        -2.659151844090e+00,        +5.743146885756e-01,        -3.623141250557e+00,        +1.939359031733e+00,        -2.253334511835e+00,        +3.491472368416e+00,        +1.510736090201e+00
 8.32000000e+01,        +7.071067811865e+00,        +3.522516580111e+00,        +1.567352881447e+00,        +1.908805270969e+00,        -2.267563625457e+00,        +4.768151556879e-01,        -3.654627099082e+00,        +1.278532931216e+00,        -2.673383071001e+00,        +7.071067811865e+00,        +1.908805270969e+00,        -2.267563625457e+00,        +3.522281491515e+00,        +1.565328878802e+00,        +1.279750387878e+00,        -2.673844619358e+00,        +4.767378786467e-01,        -3.654629445567e+00,        +7.071067811865e+00,        +4.768151556879e-01,        -3.654627099082e+00,        +1.279750387878e+00,        -2.673844619358e+00,        +3.522238658149e+00,        +1.565255296658e+00,        +1.908783551464e+00,        -2.267523546984e+00,        +7.071067811865e+00,        +1.278532931216e+00,        -2.673383071001e+00,        +4.767378786467e-01,        -3.654629445567e+00,        +1.908783551464e+00,        -2.267523546984e+00,        +3.522525684430e+00,        +1.567432363375e+00
 8.48000000e+01,        +7.071067811865e+00,        +3.556483792158e+00,        +1.624058353458e+00,        +1.879234394921e+00,        -2.281393426774e+00,        +3.776138687952e-01,        -3.684347753624e+00,        +1.216374368750e+00,        -2.686169372928e+00,        +7.071067811865e+00,        +1.879234394921e+00,        -2.281393426774e+00,        +3.556224489462e+00,        +1.622003445361e+00,        +1.217590940112e+00,        -2.686687772271e+00,        +3.775347923072e-01,        -3.684348232460e+00,        +7.071067811865e+00,        +3.776138687952e-01,        -3.684347753624e+00,        +1.217590940112e+00,        -2.686687772271e+00,        +3.556178231663e+00,        +1.621927100293e+00,        +1.879214344288e+00,        -2.281351616441e+00,        +7.071067811865e+00,        +1.216374368750e+00,        -2.686169372928e+00,        +3.775347923073e-01,        -3.684348232460e+00,        +1.879214344288e+00,        -2.281351616441e+00,        +3.556493245978e+00,        +1.624136076622e+00
 8.64000000e+01,        +7.071067811865e+00,        +3.593442627569e+00,        +1.680641400732e+00,        +1.850695391548e+00,        -2.294951029781e+00,        +2.767391122861e-01,        -3.712237838917e+00,        +1.153932322888e+00,        -2.697489416432e+00,        +7.071067811865e+00,        +1.850695391548e+00,        -2.294951029781e+00,        +3.593158719459e+00,        +1.678557286758e+00,        +1.155145130396e+00,        -2.698065884655e+00,        +2.766582081153e-01,        -3.712236394277e+00,        +7.071067811865e+00,        +2.767391122861e-01,        -3.712237838917e+00,        +1.155145130396e+00,        -2.698065884655e+00,        +3.593108794692e+00,        +1.678478066430e+00,        +1.850677128039e+00,        -2.294907547889e+00,        +7.071067811865e+00,        +1.153932322888e+00,        -2.697489416432e+00,        +2.766582081153e-01,        -3.712236394277e+00,        +1.850677128039e+00,        -2.294907547889e+00,        +3.593452345301e+00,        +1.680717094621e+00
 8.80000000e+01,        +7.071067811865e+00,        +3.633468148629e+00,        +1.736964262972e+00,        +1.823210400800e+00,        -2.308329242306e+00,        +1.741426771588e-01,        -3.738227411806e+00,        +1.091205149687e+00,        -2.707316662633e+00,        +7.071067811865e+00,        +1.823210400800e+00,        -2.308329242306e+00,        +3.633159360721e+00,        +1.734852715615e+00,        +1.092411180955e+00,        -2.707952327936e+00,        +1.740599140071e-01,        -3.738223980127e+00,        +7.071067811865e+00,        +1.741426771588e-01,        -3.738227411806e+00,        +1.092411180955e+00,        -2.707952327936e+00,        +3.633105506300e+00,        +1.734770515251e+00,        +1.823194042701e+00,        -2.308284157020e+00,        +7.071067811865e+00,        +1.091205149687e+00,        -2.707316662633e+00,        +1.740599140071e-01,        -3.738223980127e+00,        +1.823194042701e+00,        -2.308284157020e+00,        +3.633478032795e+00,        +1.737037643987e+00
 8.96000000e+01,        +7.071067811865e+00,        +3.676632753784e+00,        +1.792881061161e+00,        +1.796797622365e+00,        -2.321625069536e+00,        +6.977596815231e-02,        -3.762237214942e+00,        +1.028191944384e+00,        -2.715619053153e+00,        +7.071067811865e+00,        +1.796797622365e+00,        -2.321625069536e+00,        +3.676298937908e+00,        +1.790743920767e+00,        +1.029388049744e+00,        -2.716314945954e+00,        +6.969131135467e-02,        -3.762231724505e+00,        +7.071067811865e+00,        +6.977596815230e-02,        -3.762237214942e+00,        +1.029388049744e+00,        -2.716314945954e+00,        +3.676240870027e+00,        +1.790658643889e+00,        +1.796783287369e+00,        -2.321578457259e+00,        +7.071067811865e+00,        +1.028191944384e+00,        -2.715619053153e+00,        +6.969131135471e-02,        -3.762231724505e+00,        +1.796783287369e+00,        -2.321578457259e+00,        +3.676642694853e+00,        +1.792951832258e+00
 9.12000000e+01,        +7.071067811865e+00,        +3.723005672378e+00,        +1.848237301913e+00,        +1.771470886708e+00,        -2.334939921620e+00,        -3.640931234963e-02,        -3.784178095503e+00,        +9.648931472011e-01,        -2.722358712542e+00,        +7.071067811865e+00,        +1.771470886708e+00,        -2.334939921620e+00,        +3.722646816075e+00,        +1.846076470641e+00,        +9.660760360140e-01,        -2.723115756620e+00,        -3.649590093281e-02,        -3.784170465624e+00,        +7.071067811865e+00,        -3.640931234964e-02,        -3.784178095503e+00,        +9.660760360140e-01,        -2.723115756620e+00,        +3.722584228871e+00,        +1.845988030086e+00,        +1.771458691187e+00,        -2.334891867313e+00,        +7.071067811865e+00,        +9.648931472010e-01,        -2.722358712542e+00,        -3.649590093279e-02,        -3.784170465624e+00,        +1.771458691187e+00,        -2.334891867313e+00,        +3.723015548280e+00,        +1.848305151475e+00
 9.28000000e+01,        +7.071067811865e+00,        +3.772652367214e+00,        +1.902869373329e+00,        +1.747239153396e+00,        -2.348379811692e+00,        -1.444603920811e-01,        -3.803950428737e+00,        +9.013112181365e-01,        -2.727491673728e+00,        +7.071067811865e+00,        +1.747239153396e+00,        -2.348379811692e+00,        +3.772268603363e+00,        +1.900686808048e+00,        +9.024774548296e-01,        -2.728310676342e+00,        -1.445489537846e-01,        -3.803940568735e+00,        +7.071067811865e+00,        -1.444603920811e-01,        -3.803950428737e+00,        +9.024774548296e-01,        -2.728310676342e+00,        +3.772201168079e+00,        +1.900595127202e+00,        +1.747229211579e+00,        -2.348330409090e+00,        +7.071067811865e+00,        +9.013112181365e-01,        -2.727491673728e+00,        -1.445489537846e-01,        -3.803940568735e+00,        +1.747229211579e+00,        -2.348330409090e+00,        +3.772662042027e+00,        +1.902933973451e+00
 9.44000000e+01,        +7.071067811865e+00,        +3.825633835512e+00,        +1.956604040788e+00,        +1.724105930001e+00,        -2.362055535365e+00,        -2.544225594066e-01,        -3.821443553782e+00,        +8.374513867405e-01,        -2.730967634534e+00,        +7.071067811865e+00,        +1.724105930001e+00,        -2.362055535365e+00,        +3.825225451972e+00,        +1.954401744843e+00,        +8.385973866522e-01,        -2.731849275191e+00,        -2.545131380141e-01,        -3.821431361961e+00,        +7.071067811865e+00,        -2.544225594066e-01,        -3.821443553782e+00,        +8.385973866521e-01,        -2.731849275191e+00,        +3.825152816227e+00,        +1.954306758984e+00,        +1.724098353105e+00,        -2.362004887057e+00,        +7.071067811865e+00,        +8.374513867405e-01,        -2.730967634534e+00,        -2.545131380141e-01,        -3.821431361961e+00,        +1.724098353105e+00,        -2.362004887057e+00,        +3.825643156947e+00,        +1.956665045499e+00
 9.60000000e+01,        +7.071067811865e+00,        +3.882005798599e+00,        +2.009257952924e+00,        +1.702068605046e+00,        -2.376082821009e+00,        -3.663381873761e-01,        -3.836535231129e+00,        +7.733224828154e-01,        -2.732729754986e+00,        +7.071067811865e+00,        +1.702068605046e+00,        -2.376082821009e+00,        +3.881573247799e+00,        +2.007037966722e+00,        +7.744445081242e-01,        -2.733674572529e+00,        -3.664308280215e-01,        -3.836520594062e+00,        +7.071067811865e+00,        -3.663381873761e-01,        -3.836535231129e+00,        +7.744445081242e-01,        -2.733674572529e+00,        +3.881495034886e+00,        +2.006939624406e+00,        +1.702063500407e+00,        -2.376031038382e+00,        +7.071067811865e+00,        +7.733224828154e-01,        -2.732729754986e+00,        -3.664308280214e-01,        -3.836520594062e+00,        +1.702063500407e+00,        -2.376031038382e+00,        +3.882014594327e+00,        +2.009314997084e+00
 9.76000000e+01,        +7.071067811865e+00,        +3.941817770697e+00,        +2.060637170257e+00,        +1.681117688784e+00,        -2.390582438174e+00,        -4.802456420316e-01,        -3.849091133291e+00,        +7.089378537433e-01,        -2.732714507042e+00,        +7.071067811865e+00,        +1.681117688783e+00,        -2.390582438174e+00,        +3.941361679079e+00,        +2.058401560598e+00,        +7.100320099003e-01,        -2.733722884891e+00,        -4.803403900262e-01,        -3.849073925537e+00,        +7.071067811865e+00,        -4.802456420316e-01,        -3.849091133291e+00,        +7.100320099003e-01,        -2.733722884891e+00,        +3.941277487177e+00,        +2.058299825091e+00,        +1.681115159040e+00,        -2.390529641250e+00,        +7.071067811865e+00,        +7.089378537433e-01,        -2.732714507042e+00,        -4.803403900262e-01,        -3.849073925537e+00,        +1.681115159040e+00,        -2.390529641250e+00,        +3.941825844036e+00,        +2.060689869670e+00
 9.92000000e+01,        +7.071067811865e+00,        +4.005111997424e+00,        +2.110536731402e+00,        +1.661235956229e+00,        -2.405680249227e+00,        -5.961780658961e-01,        -3.858964382822e+00,        +6.443163736972e-01,        -2.730851590636e+00,        +7.071067811865e+00,        +1.661235956229e+00,        -2.405680249227e+00,        +4.004633174652e+00,        +2.108287579466e+00,        +6.453786067924e-01,        -2.731923740192e+00,        -5.962749657823e-01,        -3.858944466993e+00,        +7.071067811865e+00,        -5.961780658961e-01,        -3.858964382822e+00,        +6.453786067924e-01,        -2.731923740192e+00,        +4.004542575857e+00,        +2.108182430329e+00,        +1.661236098561e+00,        -2.405626566443e+00,        +7.071067811865e+00,        +6.443163736972e-01,        -2.730851590636e+00,        -5.962749657823e-01,        -3.858944466993e+00,        +1.661236098561e+00,        -2.405626566443e+00,        +4.005119123126e+00,        +2.110584684272e+00
 1.00800000e+02,        +7.071067811865e+00,        +4.071922255285e+00,        +2.158740274639e+00,        +1.642397487959e+00,        -2.421507186727e+00,        -7.141620282060e-01,        -3.865995154633e+00,        +5.794835490869e-01,        -2.727063932557e+00,        +7.071067811865e+00,        +1.642397487959e+00,        -2.421507186727e+00,        +4.071421703133e+00,        +2.156479662514e+00,        +5.805096444692e-01,        -2.728199874935e+00,        -7.142611232010e-01,        -3.865972381555e+00,        +7.071067811865e+00,        -7.141620282060e-01,        -3.865995154633e+00,        +5.805096444692e-01,        -2.728199874935e+00,        +4.071324242295e+00,        +2.156371097485e+00,        +1.642400393354e+00,        -2.421452754700e+00,        +7.071067811865e+00,        +5.794835490869e-01,        -2.727063932557e+00,        -7.142611232010e-01,        -3.865972381555e+00,        +1.642400393354e+00,        -2.421452754700e+00,        +4.071928176029e+00,        +2.158783063981e+00
 1.02400000e+02,        +7.071067811865e+00,        +4.142272504679e+00,        +2.205019735711e+00,        +1.624566605778e+00,        -2.438199136327e+00,        -8.342160345791e-01,        -3.870010362662e+00,        +5.144727230691e-01,        -2.721267787568e+00,        +7.071067811865e+00,        +1.624566605778e+00,        -2.438199136327e+00,        +4.141751425401e+00,        +2.202749731323e+00,        +5.154583054011e-01,        -2.722467333808e+00,        -8.343173663803e-01,        -3.869984571369e+00,        +7.071067811865e+00,        -8.342160345791e-01,        -3.870010362662e+00,        +5.154583054011e-01,        -2.722467333808e+00,        +4.141646618859e+00,        +2.202637768644e+00,        +1.624572358293e+00,        -2.438144099595e+00,        +7.071067811865e+00,        +5.144727230691e-01,        -2.721267787568e+00,        -8.343173663802e-01,        -3.869984571369e+00,        +1.624572358293e+00,        -2.438144099595e+00,        +4.142276928465e+00,        +2.205056932150e+00
 1.04000000e+02,        +7.071067811865e+00,        +4.216175390687e+00,        +2.249135145986e+00,        +1.607696702613e+00,        -2.455896702097e+00,        -9.563488905203e-01,        -3.870823454261e+00,        +4.493263797207e-01,        -2.713372964146e+00,        +7.071067811865e+00,        +1.607696702613e+00,        -2.455896702097e+00,        +4.215635194679e+00,        +2.246857786317e+00,        +4.502669145793e-01,        -2.714635693982e+00,        -9.564524993082e-01,        -3.870794471621e+00,        +7.071067811865e+00,        -9.563488905203e-01,        -3.870823454261e+00,        +4.502669145793e-01,        -2.714635693982e+00,        +4.215522529007e+00,        +2.246742467578e+00,        +1.607705378595e+00,        -2.455841212829e+00,        +7.071067811865e+00,        +4.493263797207e-01,        -2.713372964146e+00,        -9.564524993082e-01,        -3.870794471621e+00,        +1.607705378595e+00,        -2.455841212829e+00,        +4.216177988974e+00,        +2.249166310448e+00
 1.05600000e+02,        +7.071067811865e+00,        +4.293630588431e+00,        +2.290834558564e+00,        +1.591728968959e+00,        -2.474744828262e+00,        -1.080557915580e+00,        -3.868234339143e+00,        +3.840975455078e-01,        -2.703283200185e+00,        +7.071067811865e+00,        +1.591728968959e+00,        -2.474744828262e+00,        +4.293072900910e+00,        +2.288551831081e+00,        +3.849883426637e-01,        -2.704608439372e+00,        -1.080663840018e+00,        -3.868201979078e+00,        +7.071067811865e+00,        -1.080557915580e+00,        -3.868234339142e+00,        +3.849883426637e-01,        -2.704608439372e+00,        +4.292951831817e+00,        +2.288433224595e+00,        +1.591740636215e+00,        -2.474689045888e+00,        +7.071067811865e+00,        +3.840975455078e-01,        -2.703283200185e+00,        -1.080663840018e+00,        -3.868201979078e+00,        +1.591740636215e+00,        -2.474689045888e+00,        +4.293630994683e+00,        +2.290859244627e+00
 1.07200000e+02,        +7.071067811865e+00,        +4.374622993086e+00,        +2.329854133432e+00,        +1.576591021949e+00,        -2.494892248440e+00,        -1.206827008217e+00,        -3.862029483291e+00,        +3.188512819095e-01,        -2.690896716941e+00,        +7.071067811865e+00,        +1.576591021949e+00,        -2.494892248440e+00,        +4.374049659495e+00,        +2.327567955667e+00,        +3.196875004987e-01,        -2.692283513068e+00,        -1.206935285283e+00,        -3.861993545615e+00,        +7.071067811865e+00,        -1.206827008217e+00,        -3.862029483291e+00,        +3.196875004987e-01,        -2.692283513068e+00,        +4.373919610976e+00,        +2.327446160365e+00,        +1.576605738879e+00,        -2.494836339172e+00,        +7.071067811865e+00,        +3.188512819095e-01,        -2.690896716941e+00,        -1.206935285283e+00,        -3.861993545615e+00,        +1.576605738879e+00,        -2.494836339172e+00,        +4.374620801406e+00,        +2.329871889315e+00
